coin,side,limitPx,sz,oid,timestamp,origSz,check_time
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:46:15
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:46:15
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:46:15
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:46:15
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:46:30
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:46:30
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:46:30
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:46:30
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:46:45
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:46:45
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:46:45
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:46:45
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:47:00
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:47:00
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:47:00
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:47:00
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:47:15
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:47:15
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:47:15
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:47:15
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:47:31
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:47:31
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:47:31
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:47:31
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:47:46
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:47:46
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:47:46
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:47:46
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:01
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:16
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:31
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:48:46
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:01
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:17
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:32
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:49:47
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:49
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:49
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:49
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:49
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:52:04
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:52:04
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:52:04
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:52:04
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:52:19
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:52:19
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:52:19
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:52:19
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:52:34
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:52:34
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:52:34
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:52:34
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:52:49
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:52:49
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:52:49
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:52:49
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:53:05
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:53:05
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:53:05
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:53:05
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:53:20
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:53:20
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:53:20
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:53:20
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:53:35
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:53:35
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:53:35
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:53:35
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:53:50
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:53:50
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:53:50
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:53:50
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:54:05
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:54:05
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:54:05
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:54:05
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:54:20
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:54:20
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:54:20
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:54:20
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:54:35
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:54:35
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:54:35
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:54:35
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:54:50
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:54:50
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:54:50
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:54:50
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:55:06
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:55:06
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:55:06
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:55:06
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:55:21
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:55:21
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:55:21
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:55:21
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:55:36
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:55:36
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:55:36
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:55:36
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:55:51
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:55:51
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:55:51
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:55:51
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:56:06
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:56:06
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:56:06
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:56:06
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:56:21
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:56:21
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:56:21
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:56:21
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:56:36
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:56:36
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:56:36
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:56:36
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:56:52
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:56:52
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:56:52
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:56:52
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:57:07
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:57:07
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:57:07
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:57:07
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:57:22
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:57:22
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:57:22
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:57:22
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:57:37
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:57:37
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:57:37
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:57:37
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:57:52
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:57:52
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:57:52
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:57:52
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:58:07
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:58:07
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:58:07
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:58:07
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:58:22
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:58:22
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:58:22
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:58:22
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:58:37
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:58:37
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:58:37
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:58:37
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:58:53
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:58:53
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:58:53
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:58:53
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:59:08
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:59:08
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:59:08
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:59:08
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:59:23
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:59:23
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:59:23
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:59:23
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:59:38
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:59:38
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:59:38
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:59:38
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:59:53
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:59:53
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:59:53
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:59:53
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:08
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:08
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:08
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:08
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:23
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:39
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:00:54
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 12:01:09
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 12:01:09
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 12:01:09
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 12:01:09
